STATUS BEKERJA,UMUR,STATUS MENIKAH,IPS 1,IPS 2,IPS 3,IPS 4,IPK,STATUS KELULUSAN
0,27,0,1.9,1.91,1.59,1.28,1.67,1
0,25,1,3.6,3.54,3.52,3.39,3.5125,1
0,27,0,2.55,2.16,2.14,2.27,2.28,1
1,25,0,3.4,2.78,3.45,3.04,3.1674999999999995,0
0,29,0,2.95,3.41,3.48,3.24,3.27,1
1,32,0,2.98,2.66,2.7,2.73,2.7675,0
0,29,0,3.0,3.5,2.69,2.36,2.8874999999999997,1
0,27,0,2.76,3.18,3.13,2.75,2.955,1
1,26,0,3.45,2.98,3.31,3.15,3.2225,0
1,27,0,3.1,2.95,3.14,2.38,2.8925,0
0,24,0,3.14,2.5,3.39,2.78,2.9525,0
1,28,0,2.57,2.55,2.57,1.91,2.4,1
1,25,0,3.19,2.95,3.73,3.74,3.4025000000000003,0
1,24,0,3.05,2.98,3.25,3.14,3.105,0
1,26,0,2.33,1.84,2.76,2.14,2.2675,1
1,24,0,2.55,2.5,2.07,2.68,2.4499999999999997,0
1,25,0,3.43,2.95,3.55,3.28,3.3024999999999998,0
1,25,0,2.74,2.39,3.11,2.75,2.7475,0
0,27,0,2.74,2.41,2.75,2.86,2.69,1
0,25,0,2.45,1.43,2.16,0.27,1.5775000000000001,1
1,23,0,2.05,3.52,3.5,3.85,3.23,0
1,25,0,2.21,2.03,0.82,0.45,1.3775000000000002,0
1,23,0,2.93,2.89,2.7,2.77,2.8225,0
0,24,0,3.38,3.05,3.63,3.39,3.3625,1
0,29,0,2.07,2.59,2.59,2.48,2.4325,1
0,24,1,3.33,3.3,3.81,3.46,3.4749999999999996,1
1,24,0,2.55,2.34,2.23,2.36,2.3699999999999997,0
0,27,0,2.12,2.22,2.64,2.05,2.2575000000000003,1
0,30,0,3.26,3.03,3.54,3.28,3.2774999999999994,1
1,25,0,3.71,3.68,3.96,3.91,3.8150000000000004,0
1,25,0,3.38,2.85,3.43,2.98,3.16,0
1,24,0,3.19,3.19,3.29,3.35,3.255,0
1,29,0,3.64,3.96,3.69,3.83,3.78,0
1,27,0,3.17,3.41,3.61,3.36,3.3874999999999997,1
1,23,0,2.4,2.66,2.55,2.59,2.55,0
0,25,0,3.55,2.7,3.68,3.2,3.2824999999999998,1
1,27,0,2.71,3.27,2.54,3.36,2.9699999999999998,1
1,27,0,2.67,2.68,1.95,1.61,2.2275,1
1,30,0,2.48,2.48,2.23,2.09,2.32,0
1,32,0,2.52,2.75,2.25,2.5,2.505,0
0,25,0,2.69,2.58,3.02,3.08,2.8425,1
1,24,0,2.48,2.32,2.18,2.36,2.335,0
